CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,GE01,AG01_01,PE01_01,PE01_02,PE01_03,PE01_04,EE01_01,EE01_02,EE01_03,SI01_01,SI01_02,SI01_03,FC01_01,FC01_02,FC01_03,HM01_01,HM01_02,HM01_03,PR01_01,PR01_02,PR01_03,PR01_04,HB01_01,HB01_02,HB01_03,TS01_05,TS01_06,TS01_07,PI01_01,PI01_02,PI01_03,IF01_01,IF01_02,IF01_03,IF01_04,IF01_05,LF01_01,LF01_02,LF01_03,LF01_04,LF01_05,BI01_01,BI01_02,BI01_03,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
197,CASE000196,196,commericaltransport,interview,2022-02-23 20:34:34,1,25,6,7,6,7,5,6,6,6,7,6,5,5,6,7,7,7,6,6,5,5,6,5,6,6,7,4,7,6,7,5,7,3,4,6,3,7,3,6,5,6,6,7,14,23,14,11,15,10,6,18,17,15,12,23,37,19,0,,2022-02-23 20:38:28,1,0,14,14,0,0,,100
203,CASE000202,202,privatetransport,interview,2022-02-23 22:01:14,1,21,1,1,1,1,4,5,5,1,1,1,2,2,2,4,4,6,2,4,4,1,2,1,2,5,5,5,3,1,2,1,5,1,1,4,1,4,2,5,5,3,2,3,30,7,71,43,28,19,13,30,21,24,18,47,34,25,0,,2022-02-23 22:08:04,1,0,14,14,0,0,,100
205,CASE000204,204,privatetransport,interview,2022-02-23 23:27:37,1,22,5,3,5,4,5,5,5,5,5,2,5,5,3,6,6,6,4,4,4,3,4,5,5,3,6,7,2,2,2,2,6,3,2,6,3,6,3,3,6,6,3,6,116,8,40,13,22,16,12,27,17,19,13,22,32,18,0,,2022-02-23 23:33:52,1,0,14,14,0,0,,100
207,CASE000206,206,commericaltransport,interview,2022-02-24 09:40:18,1,30,4,6,6,7,3,4,4,6,1,5,4,4,2,1,2,4,7,5,3,4,4,2,3,4,7,7,4,4,4,1,2,2,4,3,2,6,3,5,5,2,4,5,57,8,35,63,142,25,20,58,115,49,47,83,14,19,0,,2022-02-24 09:52:33,1,0,14,14,14,11,,100
217,CASE000216,216,commericaltransport,interview,2022-02-24 22:05:32,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-02-24 22:09:25,1,0,14,14,0,0,,100
206,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,44616,1,26,4,5,5,5,4,5,5,5,4,4,4,4,4,5,5,6,5,5,4,3,5,4,4,5,6,6,5,3,4,2,5,3,3,5,3,6,3,5,6,5,4,6,46,10,36,29,44,17,13,31,37,25,21,41,29,19,0,#DIV/0!,44616,1,0,14,14,3,2,#DIV/0!,100
219,CASE000196,196,commericaltransport,interview,2022-02-23 20:34:34,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-02-25 22:09:25,1,0,14,14,0,0,,100
223,CASE000202,202,privatetransport,interview,2022-02-23 22:01:14,1,28,5,6,6,6,4,5,5,6,5,5,5,5,4,5,5,6,6,5,4,3,5,4,5,4,7,7,5,3,4,2,5,4,4,5,4,6,3,5,6,5,4,6,49,7,31,28,47,18,14,32,40,25,23,40,26,16,0,#DIV/0!,44617,1,0,14,14,3,3,#DIV/0!,100
228,CASE000204,204,privatetransport,interview,2022-02-23 23:27:37,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-02-26 22:09:25,1,0,14,14,0,0,,100
232,CASE000206,206,commericaltransport,interview,2022-02-24 09:40:18,1,29,5,6,6,6,5,6,6,6,6,6,5,5,5,6,6,6,6,6,5,3,6,5,5,5,7,7,6,3,5,3,6,5,4,6,4,6,4,6,7,6,4,7,26,6,26,22,26,17,12,25,24,20,18,33,27,14,0,#DIV/0!,44617,1,0,14,14,1,1,#DIV/0!,100
